Hours,ng_ccs_WECC,nuclear_WECC,wind_WECC,solar_WECC,ng_ccs_ERCOT,nuclear_ERCOT,solar_ERCOT,wind_ERCOT
4711,1,1,0.219,0.355333333,1,1,0.0468,0.0918
4712,1,1,0.088,0.518333333,1,1,0.1504,0.0842
4713,1,1,0.073,0.618666667,1,1,0.2784,0.0852
4714,1,1,0.065,0.660666667,1,1,0.3918,0.0784
4715,1,1,0.086,0.686666667,1,1,0.4718,0.0676
4716,1,1,0.089,0.698,1,1,0.5194,0.0678
4717,1,1,0.182,0.687,1,1,0.5296,0.072
4718,1,1,0.123,0.693333333,1,1,0.5108,0.089
4719,1,1,0.103,0.668,1,1,0.4728,0.1304
4720,1,1,0.084,0.631333333,1,1,0.3898,0.1976
4721,1,1,0.121,0.577333333,1,1,0.2844,0.2924
4722,1,1,0.204,0.467,1,1,0.159,0.404
4723,1,1,0.396,0.305333333,1,1,0.0464,0.5154
4724,1,1,0.601,0.070333333,1,1,0.001,0.6008
4725,1,1,0.633,0,1,1,0,0.603
4726,1,1,0.618,0,1,1,0,0.528
4727,1,1,0.589,0,1,1,0,0.44
4728,1,1,0.443,0,1,1,0,0.3724
4729,1,1,0.383,0,1,1,0,0.3156
4730,1,1,0.272,0,1,1,0,0.2782
4731,1,1,0.225,0,1,1,0,0.244
4732,1,1,0.198,0,1,1,0,0.1996
4733,1,1,0.202,0,1,1,0,0.1504
4734,1,1,0.158,0.086,1,1,0.0006,0.1166
4735,1,1,0.17,0.339666667,1,1,0.049,0.094
4736,1,1,0.144,0.494333333,1,1,0.1558,0.1466
4737,1,1,0.06,0.603,1,1,0.2852,0.1764
4738,1,1,0.042,0.643666667,1,1,0.3998,0.1952
4739,1,1,0.108,0.672666667,1,1,0.4966,0.204
4740,1,1,0.085,0.684,1,1,0.5696,0.2184
4741,1,1,0.067,0.678666667,1,1,0.6072,0.2532
4742,1,1,0.089,0.686666667,1,1,0.5998,0.309
4743,1,1,0.131,0.657333333,1,1,0.547,0.3808
4744,1,1,0.237,0.593666667,1,1,0.4456,0.4672
4745,1,1,0.145,0.541,1,1,0.3206,0.5586
4746,1,1,0.2,0.436666667,1,1,0.1776,0.644
