Hour,WECC_Load_MWh,ERCOT_Load_MWh_2050
1156,142151,86710.3
1157,144553,87035.2
1158,152792,88239.8
1159,162889,89022.6
1160,169094,89949.8
1161,178307,92267.8
1162,187725,94783.4
1163,196538,96983.6
1164,205267,98216.7
1165,212552,98473.2
1166,213305,100576.5
1167,212319,100285.8
1168,212242,96947.5
1169,221026,92148.1
1170,230718,88158.1
1171,240372,83923
1172,236110,78946.9
1173,220313,76682.1
1174,196463,74632
1175,178436,73448.3
1176,165607,72570.5
1177,134092,76621.3
1178,132456,80550.5
1179,131678,85163.7
1180,130963,85298.6
1181,131511,85615.9
1182,136241,86191.6
1183,143103,86203
1184,149978,86495.6
1185,159711,88458.3
1186,168881,90428.6
1187,175965,92767.5
1188,184306,94927.8
1189,191378,96162.8
1190,191450,98076.1
1191,186620,95970.9
1192,187602,92499.6
1193,196454,88372.8
1194,202464,84888.2
1195,218607,81073
1196,214960,77181.8
1197,199903,75063.3
1198,179398,73250.7
1199,158841,72315.9
1200,140266,71620.5
1201,125594,75405.3
1202,126133,79387.7
1203,125730,83890.7
1204,128457,84247.9
1205,135939,84778
1206,153891,85606.4
1207,176604,85779.3
1208,187793,86083.3
1209,184717,87975.7
1210,179404,89870
1211,180508,92041.7
1212,183427,94099.4
1213,185322,95461.7
1214,185483,97728.4
1215,191125,95685.9
1216,202980,92220.3
1217,220773,87973.8
1218,232328,84386.6
1219,212841,80643.6
1220,185000,76826.5
1221,169627,74814.4
1222,150609,73094.9
1223,136363,72236.1
1224,134968,71666.1
1225,131604,75534.5
1226,130944,79611.9
1227,130645,84145.3
1228,133020,84418.9
1229,139560,84947.1
1230,157851,85754.6
1231,181518,85767.9
1232,191049,85967.4
1233,187164,87704
1234,181714,89518.5
1235,182781,91745.3
1236,186489,93641.5
1237,189043,95115.9
1238,189761,96951.3
1239,193300,95017.1
1240,206028,91792.8
1241,226173,87504.5
1242,236978,84099.7
1243,216281,80535.3
1244,186288,76695.4
1245,171199,74605.4
1246,147182,72872.6
1247,135120,71738.3
1248,128115,70991.6
1249,131074,74094.3
1250,131858,77174.2
1251,130925,80271.2
1252,133537,80476.4
1253,140696,80753.8
1254,157848,81270.6
1255,180344,81221.2
1256,187997,80932.4
1257,184320,81234.5
1258,178285,82585.4
1259,179913,84310.6
